,provider,chain,avg_qos
0,P1,0009,0.23147817087075584
1,P9,0009,0.3922150221840691
2,P8,0009,0.36663157703124705
3,P5,0009,0.42621255617243814
4,P4,0009,0.24091531153626822
5,P13,0009,0.25678272959005327
6,P12,0009,0.2585185935330666
7,P11,0009,0.23944798229711198
8,P7,0009,0.23210144909530667
9,P6,0009,0.23860609728234428
10,P2,0009,0.19530699819752156
11,P10,0009,0.2816267150663455
12,P14,0009,0.24263902343901234
13,P1,0040,0.2204215762248816
14,P9,0040,0.32108529160778354
15,P8,0040,0.3207127682817042
16,P5,0040,0.4303879034953684
17,P4,0040,0.2965586656713416
18,P13,0040,0.23858145594727043
19,P12,0040,0.2266276909752641
20,P11,0040,0.22760349314534856
21,P7,0040,0.2264607052465008
22,P6,0040,0.22482687150632036
23,P2,0040,0.187236757333866
24,P10,0040,0.26431073796522025
25,P14,0040,0.22669856588834963
26,P1,0004,0.22306065542763712
27,P9,0004,0.3512540560253558
28,P8,0004,0.37204639999604655
29,P5,0004,0.44174916628757094
30,P4,0004,0.23728243998879409
31,P13,0004,0.23059476069651103
32,P12,0004,0.21219283268905983
33,P11,0004,0.22765581104516297
34,P7,0004,0.21257312704626657
35,P6,0004,0.21741255871312454
36,P2,0004,0.17608207807667922
37,P14,0004,0.23034545419463365
38,P1,0049,0.28517676050001617
39,P9,0049,0.35585890860165015
40,P8,0049,0.4069316536005186
41,P5,0049,0.45216732499141665
42,P4,0049,0.2623881305374925
43,P13,0049,0.2932538223758569
44,P12,0049,0.30946722615759353
45,P11,0049,0.25477235350161953
46,P7,0049,0.2498165550748117
47,P6,0049,0.25604574670350333
48,P2,0049,0.2212353208134666
49,P10,0049,0.31222581195297905
50,P14,0049,0.30128739297733625
51,P1,0021,0.2845020445966345
52,P9,0021,0.3308400820246907
53,P8,0021,0.35527113177650643
54,P5,0021,0.45621833238898457
55,P4,0021,0.4986796730289832
56,P13,0021,0.23488626750052347
57,P12,0021,0.23821914579020576
58,P11,0021,0.36628925655963573
59,P7,0021,0.4302173018002118
60,P6,0021,0.3973587726842089
61,P2,0021,0.2160180489654053
62,P10,0021,0.6311956281114817
63,P14,0021,0.2740858008983857
64,P1,0027,0.3418025170893535
65,P9,0027,0.6165420215607798
66,P8,0027,0.5352682000249462
67,P5,0027,0.40089896916308676
68,P4,0027,0.14048212942587573
69,P13,0027,0.33456389100583406
70,P12,0027,0.3367245682216425
71,P11,0027,0.26202402659115565
72,P7,0027,0.25454818109797356
73,P6,0027,0.26687757772791
74,P2,0027,0.27314372200133913
75,P10,0027,0.48760471796275645
76,P14,0027,0.3514625328445142
77,P1,0005,0.2060987104679789
78,P9,0005,0.27982083683393555
79,P8,0005,0.28891770567050107
80,P5,0005,0.20441608624337992
81,P4,0005,0.2741409679635133
82,P13,0005,0.213261363059106
83,P12,0005,0.19620995170498978
84,P11,0005,0.16501064281894465
85,P7,0005,0.1707516180995964
86,P6,0005,0.1606380024646768
87,P2,0005,0.1522033160584901
88,P10,0005,0.21932000800505888
89,P14,0005,0.2200436872277766
90,P1,03DF,0.19393450130107867
91,P5,03DF,0.4331538382282871
92,P4,03DF,0.4197766057999417
93,P13,03DF,0.21159267497505324
94,P12,03DF,0.21025566083899178
95,P11,03DF,0.2220899312128012
96,P7,03DF,0.21940957860644644
97,P6,03DF,0.21547141319802907
98,P2,03DF,0.19755912543143575
99,P10,03DF,0.30838175372735716
100,P14,03DF,0.20154646695726242
